Time (s),Altitude (m),Velocity (m/s),Acceleration (m/s²),G-force
58,40187.07562254527,384.2803071927687,-9.901342587337545,1.0093111709824205
59,40561.46318975839,374.3875672131192,-9.89273997964949,1.00843424869006
60,40925.96581283144,364.50262307305144,-9.884944140067793,1.007639565756146
61,41280.590561118115,354.6247482866726,-9.877874786378824,1.0069189384687893
62,41625.34384922952,344.75328811139906,-9.871460175273578,1.006265053544707
63,41960.23150120095,334.8876519714348,-9.865636139964241,1.005671370026936
64,42285.25880792913,325.0273067281847,-9.860345243250121,1.0051320329510827
65,42600.43057862598,315.17177069685044,-9.855536031334292,1.0046417972817832
66,42905.75118694714,305.32060832116156,-9.85116237568888,1.0041959608245545
67,43201.22461237633,295.47342542918796,-9.847182891973626,1.0037903049922146
68,43486.85447737905,285.6298650027134,-9.843560426474529,1.0034210424540804
69,43762.64408077998,275.7896034009289,-9.840261601784498,1.0030847708241077
70,44028.59642776638,265.95234698640155,-9.837256414527385,1.0027784316541677
71,44284.71425687392,256.11782910754465,-9.834517878856914,1.0024992740934673
72,44531.000064271204,246.28580739727974,-9.8320217102649,1.0022448226569725
73,44767.456125623554,236.45606135235252,-9.829746044927232,1.0020128486164355
74,44994.084515785486,226.62839016193513,-9.82767119041739,1.0018013445889287
75,45210.88712654328,216.80261075779651,-9.825779404138625,1.0016085019509302
76,45417.8656826048,206.97855606151748,-9.824054696279035,1.001432690752195
77,45615.02175601183,197.15607340702957,-9.822482654487917,1.0012724418438244
78,45802.35677913105,187.33502311921433,-9.821050287815252,1.0011264309699544
79,45979.87205636251,177.51527723145844,-9.819745887755875,1.0009934646030454
80,46147.56877468947,167.69671832695656,-9.81855890450189,1.0008724673294485
81,46305.44801317969,157.87923849022042,-9.817479836736146,1.0007624706153053
82,46453.51075153641,148.06273835671982,-9.816500133500588,1.0006626028033219
83,46591.75787778628,138.24712624987,-9.815612106849825,1.0005720802089526
84,46720.190195182,128.43231739571453,-9.814808854155485,1.0004901992003552
85,46838.80842838865,118.61823320665071,-9.81408418906382,1.0004163291604302
86,46947.61322901507,108.80480062642101,-9.813432580229705,1.0003499062415602
87,47046.60518054444,98.99195152936367,-9.812849097057336,1.0002904278345908
88,47135.78480271203,89.17962216759102,-9.812329361772655,1.0002374476832472
89,47215.152555372384,79.3677526603539,-9.811869507237116,1.0001905715838038
90,47284.70884189275,69.55628652036609,-9.811466139987818,1.0001494536175146
91,47344.45401210506,59.74517021230937,-9.811116308056718,1.0001137928702057
92,47394.388364844184,49.934352739126794,-9.81081747318257,1.0000833305996504
93,47434.51215009623,40.12378525204231,-9.810567487084484,1.0000578478169708
94,47464.82557077675,30.313420680526015,-9.810364571516295,1.000037163253445
95,47485.32878415541,20.503213378658728,-9.810207301867287,1.0000211316888161
96,47496.02190293995,10.693118784541246,-9.810094594117482,1.0000096426215577
97,47496.904996029494,0.8830930895452713,-9.810025694995975,1.0000026192656446
98,47487.97808894381,-8.926907085683254,-9.810000175228526,1.000000017862235
99,47469.24116393233,-18.73692501148024,-9.810017925796984,1.0000018272983673
100,47440.69415976368,-28.54700416864855,-9.810079157168312,1.0000080690283701
101,47402.33697119355,-38.35718857013399,-9.810184401485442,1.0000187972971908
102,47354.16944810567,-48.16752308788081,-9.810334517746819,1.000034099668381
103,47296.19139431775,-57.97805378791708,-9.81053070003627,1.0000540978630246
104,47228.40256604093,-67.78882827681764,-9.810774488900565,1.0000789489195274
105,47150.802669978104,-77.59989606282694,-9.811067786009305,1.0001088466880026
106,47063.391361043,-87.41130893509772,-9.811412872270783,1.00014402367694
107,46966.168239678285,-97.22312136471685,-9.811812429619128,1.000184753274121
108,46859.132848746834,-107.03539093144963,-9.812269566732777,1.0002313523682749
109,46742.28466996639,-116.84817878044255,-9.812787848992931,1.000284184402949
110,46615.623119852906,-126.66155011348624,-9.813371333043683,1.000343662899458
111,46479.14754513305,-136.4755747198603,-9.814024606374064,1.0004102554917496
112,46332.85721758078,-146.29032755226729,-9.814752832406976,1.0004844885226274
